Site,Protocol Note,Manufacturer,Scanner,N,,,,,,,,,
SWI,,,,,,,,,,,,,
Site,Manufacturer,TE (ms),TR (ms),Flip Angle (°),Parallel Factor,Pixel Bandwidth (Hz),"Image Dimensions (X,Y,Z)","Voxel Size (X,Y,Z; mm)",Acquisition Duration (s),Duration,,,
Andhra Pradesh,Siemens,20,27,15,2,120,232 x 256 x 104,0.859 x 0.859 x 1.5,,07:20,,,
Assam,Siemens,20,27,15,2,120,232 x 256 x 104,0.859 x 0.859 x 1.5,371.925,06:11,,,
Chennai,Siemens,20,27,15,2,140,232 x 256 x 104,0.859 x 0.859 x 1.5,-,06:51,,,
Gujarat,Siemens,20,27,15,2,120,232 x 256 x 104,0.859 x 0.859 x 1.5,371.925,07:16,,,
Kolkata,Siemens,20,27,15,2,120,232 x 256 x 104,0.859 x 0.859 x 1.5,371.925,06:49,,,
Mumbai,Siemens,20,27,15,2,120,232 x 256 x 104,0.859 x 0.859 x 1.5,-,06:11,,,
Punjab,Siemens,20,27,15,2,140,232 x 256 x 104,0.859 x 0.859 x 1.5,-,08:21,,,
Rajasthan,Siemens,20,27,15,2,120,232 x 256 x 104,0.859 x 0.859 x 1.5,-,06:46,,,
Delhi/Haryana,Philips,25.8,31,17,2,254,672 x 672 x 220,0.342 x 0.342 x 0.75,309.969,06:31,,,
NIMHANS,Philips,20,27,15,2,815,288 x 288 x 104,0.889 x 0.889 x 1.5,341.739,05:51,,,
Uttarakhand,Philips,25.8,31,17,2,256,672 x 672 x 173,0.342 x 0.342 x 0.75,242.575,,,,
,,,,,,,,,,,,,
DWI,,,,,,,,,,,,,
Site,Manufacturer,Shells,B0,Number of Directions,PE Direction,TE (ms),TR (ms),Flip Angle (°),Multiband Factor,Pixel Bandwidth (Hz),"Image Dimensions (X,Y,Z)","Voxel Size (X,Y,Z; mm)",Duration
Andhra Pradesh,Siemens,"1000, 2000 combined",Included in DWI ,128 (64 directions/shell),PA,101,3600,90,4,1595,116 x 116 x 80,2.02 x 2.02 x 2,08:51
Assam,Siemens,"1000, 2000 combined",Included in DWI ,128 (64 directions/shell),PA,97,3500,90,4,1596,116 x 116 x 80,2 x 2 x 2,08:28
Chennai,Siemens,"1000, 2000 split",Separate B0,128 (64 directions/image),"PA, AP",105,9600,90,-,1575,122 x 122 x 65,1.97 x 1.97 x 2.2,21:46
Gujarat,Siemens,"1000, 2000 combined",Separate B0,128 (64 directions/shell),PA,108,3700,90,4,1596,116 x 116 x 80,2 x 2 x 2,15:38
Kolkata,Siemens,"1000, 2000 combined",Separate B0,128 (64 directions/shell),PA,108,3600,90,4,1596,116 x 116 x 80,2 x 2 x 2,08:02
Mumbai,Siemens,"1000, 2000 combined",Separate B0,128 (64 directions/shell),PA,108,3600,90,4,1595,116 x 116 x 80,2 x 2 x 2,08:08
Punjab,Siemens,"1000, 2000 combined",Included in DWI ,128 (64 directions/shell),PA,131,4000,90,4,1595,116 x 116 x 80,2 x 2 x 2,09:57
Rajasthan,Siemens,"1000, 2000 combined",Separate B0,128 (64 directions/shell),PA,108,3500,90,4,1596,116 x 116 x 80,2 x 2 x 2,07:51
Delhi/Haryana,Philips,"1000, 2000 split",Included in each single shell DWI,64 (32 directions/image),Both PA,108,3600,90,-,1557,144 x 144 x 100,1.56 x 1.56 x 1.56,21:00
NIMHANS,Philips,"1000, 2000 combined",Included in DWI ,128 (64 directions/shell),PA,108,3600,90,4 (MBSENSE),2344,128 x 128 x 80,1.81 x 1.81 x 1.81,08:24
Uttarakhand,Philips,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,,,,,,,,,,,,,
fMRI,,,,,,,,,,,,,
Site,Manufacturer,TE (s),TR (s),Echo Spacing (ms),Flip Angle (°),Multiband Factor,Pixel Bandwidth (Hz),Phase Encodings,Volumes per Image,"Image Dimensions (X,Y,Z)","Voxel Size (X,Y,Z; mm)",Duration (PA + AP),
Andhra Pradesh,Siemens,0.035,0.836,0.61,50,8,2365,"PA, AP",352,88 x 88 x 64,2.5 x 2.5 x 2.5,10:10,
Assam,Siemens,0.035,0.836,0.61,50,8,2367,"PA, AP",352,88 x 88 x 64,2.5 x 2.5 x 2.5,10:12,
Chennai,Siemens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gujarat,Siemens,0.032,0.836,0.29,50,8,2367,"PA, AP",352,88 x 88 x 64,2.5 x 2.5 x 2.5,10:16,
